B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B7	X3	R8	1180.30853	-0.0516	9.95E-3	1.09E+9
B7	X1	R17	1181.37269	-0.0886	1.46E-2	7.64E+8
B7	X3	P8	1186.71247	-0.0561	3.90E-3	1.20E+9
B7	X3	R9	1187.92867	-0.0580	1.07E-2	1.04E+9
B7	X2	P13	1188.16804	-0.0774	7.36E-3	9.58E+8
B7	X0	P20	1189.39382	-0.1039	1.42E-2	7.46E+8
B7	X2	R14	1190.20161	-0.0797	2.32E-3	9.01E+8
B7	X1	P17	1191.94039	-0.0949	3.59E-3	8.18E+8
B7	X0	R21	1193.20055	-0.1065	1.66E-2	6.91E+8
B7	X1	R18	1194.83027	-0.0974	1.55E-2	7.46E+8
B7	X3	P9	1195.04741	-0.0630	4.01E-3	1.14E+9
B7	X3	R10	1196.29929	-0.0648	1.14E-2	1.00E+9
B7	X4	R1	1198.36831	-0.0410	6.68E-3	1.58E+9
B7	X4	P1	1199.61328	-0.0418	3.75E-3	1.80E+9
B7	X2	P14	1199.89567	-0.0858	7.25E-3	9.25E+8
B7	X2	R15	1201.92152	-0.0880	1.92E-3	8.18E+8
B7	X4	R3	1202.28941	-0.0447	4.92E-3	1.41E+9
B7	X3	P10	1204.11651	-0.0702	4.16E-3	1.09E+9
B7	X0	P21	1204.85298	-0.1127	1.47E-2	7.19E+8
B7	X4	P3	1205.19214	-0.0468	5.07E-3	1.58E+9
B7	X3	R11	1205.38094	-0.0720	1.22E-2	9.58E+8
B7	X4	R4	1205.63794	-0.0478	4.33E-3	1.33E+9
B7	X1	P18	1205.91033	-0.1038	4.06E-3	8.29E+8
B7	X0	R22	1208.63758	-0.1151	1.66E-2	6.57E+8
B7	X1	R19	1208.77652	-0.1060	1.65E-2	7.19E+8
B7	X4	P4	1209.36408	-0.0505	5.40E-3	1.49E+9
B7	X4	R5	1209.88285	-0.0517	3.79E-3	1.26E+9
B7	X2	P15	1212.20412	-0.0944	7.13E-3	8.83E+8
B7	X3	P11	1213.88517	-0.0777	4.37E-3	1.04E+9
B7	X4	P5	1214.42541	-0.0549	5.66E-3	1.41E+9
B7	X4	R6	1214.99436	-0.0562	3.28E-3	1.20E+9
B7	X3	R12	1215.13461	-0.0795	1.29E-2	9.25E+8
B7	X4	P6	1220.34632	-0.0600	5.87E-3	1.33E+9
B7	X1	P19	1220.35457	-0.1125	4.55E-3	7.64E+8
B7	X0	P22	1220.73907	-0.1213	1.52E-2	6.96E+8
B7	X4	R7	1220.94578	-0.0613	2.79E-3	1.14E+9
B7	X1	R20	1223.17594	-0.1145	1.73E-2	6.96E+8
B7	X3	P12	1224.31331	-0.0855	4.62E-3	1.00E+9
B7	X0	R23	1224.48354	-0.1234	1.67E-2	7.15E+8
B7	X2	P16	1225.05123	-0.1029	7.00E-3	9.01E+8
B7	X3	R13	1225.52639	-0.0872	1.36E-2	8.83E+8
B7	X2	R17	1226.99348	-0.1047	1.25E-3	7.64E+8
B7	X4	P7	1227.09341	-0.0657	6.04E-3	1.26E+9
B7	X4	P8	1234.62768	-0.0718	6.15E-3	1.20E+9
B7	X4	R9	1235.21603	-0.0732	1.88E-3	1.04E+9
B7	X1	P20	1235.24305	-0.1211	5.05E-3	7.46E+8
B7	X3	P13	1235.35792	-0.0935	4.91E-3	9.58E+8
B7	X3	R14	1236.51041	-0.0951	1.42E-2	9.01E+8
B7	X0	P23	1237.01575	-0.1297	1.57E-2	6.91E+8
B7	X1	R21	1237.98799	-0.1228	1.81E-2	6.91E+8
B7	X2	P17	1238.39706	-0.1114	6.87E-3	8.18E+8
B7	X0	R24	1240.68657	-0.1315	1.69E-2	6.28E+8
B7	X4	P9	1242.91463	-0.0785	6.23E-3	1.14E+9
B7	X5	R1	1246.71337	-0.0557	1.20E-2	1.58E+9
B7	X3	P14	1246.97683	-0.1016	5.23E-3	9.25E+8
B7	X3	R15	1248.04278	-0.1030	1.47E-2	8.18E+8
B7	X5	P1	1248.06087	-0.0566	5.16E-3	1.80E+9
B7	X5	R2	1248.15204	-0.0571	1.13E-2	1.49E+9
B7	X5	R3	1250.51689	-0.0593	1.14E-2	1.41E+9
B7	X1	P21	1250.53620	-0.1294	5.54E-3	7.19E+8
B7	X4	P10	1251.90787	-0.0854	6.27E-3	1.09E+9
B7	X2	P18	1252.20955	-0.1198	6.75E-3	8.29E+8
B7	X4	R11	1252.38472	-0.0867	1.12E-3	9.58E+8
B7	X1	R22	1253.17995	-0.1309	1.88E-2	6.57E+8
B7	X0	P24	1253.65450	-0.1378	1.62E-2	6.57E+8
B7	X5	P3	1253.65747	-0.0615	6.08E-3	1.58E+9
B7	X5	R4	1253.78778	-0.0622	1.16E-2	1.33E+9
B7	X2	R19	1253.97578	-0.1212	7.84E-4	7.19E+8
B7	X5	P4	1257.81798	-0.0651	6.11E-3	1.49E+9
B7	X5	R5	1257.93911	-0.0659	1.20E-2	1.26E+9
B7	X3	P15	1259.13331	-0.1098	5.57E-3	8.83E+8
B7	X3	R16	1260.08744	-0.1110	1.52E-2	8.29E+8
B7	X4	P11	1261.56766	-0.0927	6.27E-3	1.04E+9
B7	X5	P5	1262.85043	-0.0694	6.09E-3	1.41E+9
B7	X5	R6	1262.93763	-0.0703	1.24E-2	1.20E+9
B7	X1	P22	1266.19464	-0.1375	5.99E-3	6.96E+8
B7	X2	P19	1266.44035	-0.1281	6.66E-3	7.64E+8
B7	X1	R23	1268.71372	-0.1386	1.94E-2	7.15E+8
B7	X5	P6	1268.72130	-0.0743	6.07E-3	1.33E+9
B7	X5	R7	1268.75314	-0.0752	1.28E-2	1.14E+9
B7	X0	P25	1270.62149	-0.1454	1.68E-2	7.15E+8
B7	X3	P16	1271.77790	-0.1179	5.92E-3	9.01E+8
B7	X4	P12	1271.84790	-0.1002	6.25E-3	1.00E+9
B7	X3	R17	1272.59169	-0.1188	1.57E-2	7.64E+8
B7	X5	R8	1275.34135	-0.0806	1.33E-2	1.09E+9
B7	X5	P7	1275.39294	-0.0797	6.08E-3	1.26E+9
B7	X2	P20	1281.05144	-0.1361	6.60E-3	7.46E+8
B7	X1	P23	1282.17263	-0.1453	6.39E-3	6.91E+8
B7	X5	R9	1282.66350	-0.0865	1.37E-2	1.04E+9
B7	X4	P13	1282.69890	-0.1077	6.22E-3	9.58E+8
B7	X5	P8	1282.82130	-0.0857	6.10E-3	1.20E+9
B7	X1	R24	1284.52597	-0.1460	1.98E-2	6.28E+8
B7	X3	P17	1284.86283	-0.1259	6.25E-3	8.18E+8
B7	X3	R18	1285.51327	-0.1265	1.60E-2	7.46E+8
B7	X0	P26	1287.85768	-0.1527	1.74E-2	6.28E+8
B7	X5	R10	1290.67302	-0.0927	1.41E-2	1.00E+9
B7	X5	P9	1290.96689	-0.0920	6.14E-3	1.14E+9
B7	X4	P14	1294.07127	-0.1154	6.17E-3	9.25E+8
B7	X2	P21	1295.99362	-0.1438	6.60E-3	7.19E+8
B7	X3	P18	1298.34805	-0.1337	6.55E-3	8.29E+8
B7	X1	P24	1298.43166	-0.1526	6.70E-3	6.57E+8
B7	X3	R19	1298.79860	-0.1340	1.63E-2	7.19E+8
B7	X6	R3	1298.91407	-0.0718	3.45E-3	1.41E+9
B7	X5	R11	1299.31860	-0.0991	1.45E-2	9.58E+8
B7	X5	P10	1299.77695	-0.0986	6.21E-3	1.09E+9
B7	X6	P3	1302.30277	-0.0741	4.71E-3	1.58E+9
B7	X4	P15	1305.92083	-0.1230	6.15E-3	8.83E+8
B7	X6	R5	1306.05399	-0.0780	2.51E-3	1.26E+9
B7	X5	R12	1308.54849	-0.1058	1.49E-2	9.25E+8
B7	X5	P11	1309.20542	-0.1055	6.28E-3	1.04E+9
B7	X2	P22	1311.21667	-0.1512	6.67E-3	6.96E+8
B7	X6	P5	1311.34899	-0.0817	5.53E-3	1.41E+9
B7	X3	P19	1312.17492	-0.1413	6.80E-3	7.64E+8
B7	X3	R20	1312.39312	-0.1412	1.66E-2	6.96E+8
B7	X1	P25	1314.92605	-0.1595	6.89E-3	7.15E+8
B7	X4	P16	1318.18887	-0.1305	6.14E-3	9.01E+8
B7	X5	R13	1318.31564	-0.1126	1.51E-2	8.83E+8
B7	X5	P12	1319.19884	-0.1125	6.36E-3	1.00E+9
B7	X6	P7	1323.60476	-0.0915	6.15E-3	1.26E+9
B7	X3	R21	1326.23399	-0.1479	1.68E-2	6.91E+8
B7	X3	P20	1326.29475	-0.1485	6.96E-3	7.46E+8
B7	X2	P23	1326.66208	-0.1580	6.84E-3	6.91E+8
B7	X5	R14	1328.55774	-0.1193	1.54E-2	9.01E+8
B7	X5	P13	1329.69921	-0.1195	6.42E-3	9.58E+8
B7	X4	P17	1330.81753	-0.1378	6.19E-3	8.18E+8
B7	X6	P8	1330.82400	-0.0972	6.42E-3	1.20E+9
B7	X1	P26	1331.58125	-0.1657	6.93E-3	6.28E+8
B7	X6	P9	1338.70854	-0.1031	6.66E-3	1.14E+9
B7	X5	R15	1339.21309	-0.1260	1.55E-2	8.18E+8
B7	X3	R22	1340.26413	-0.1542	1.69E-2	6.57E+8
B7	X3	P21	1340.64529	-0.1553	7.01E-3	7.19E+8
B7	X5	P14	1340.64803	-0.1266	6.44E-3	9.25E+8
B7	X2	P24	1342.27712	-0.1643	7.13E-3	6.57E+8
B7	X7	R1	1343.60680	-0.0785	1.57E-2	1.58E+9
B7	X4	P18	1343.75596	-0.1448	6.29E-3	8.29E+8
B7	X7	R3	1346.97417	-0.0816	1.44E-2	1.41E+9
B7	X6	P10	1347.19795	-0.1093	6.90E-3	1.09E+9
B7	X7	R4	1349.92962	-0.0842	1.44E-2	1.33E+9
B7	X5	R16	1350.22697	-0.1325	1.56E-2	8.29E+8
B7	X7	P3	1350.61862	-0.0841	8.20E-3	1.58E+9
B7	X5	P15	1351.99143	-0.1335	6.42E-3	8.83E+8
B7	X7	R5	1353.69215	-0.0874	1.46E-2	1.26E+9
B7	X3	R23	1354.41614	-0.1598	1.69E-2	7.15E+8
B7	X3	P22	1355.16121	-0.1616	6.91E-3	6.96E+8
B7	X6	P11	1356.23832	-0.1156	7.14E-3	1.04E+9
B7	X4	P19	1356.93191	-0.1514	6.49E-3	7.64E+8
B7	X2	P25	1357.99883	-0.1699	7.57E-3	7.15E+8
B7	X7	R6	1358.21971	-0.0912	1.48E-2	1.20E+9
B7	X7	P5	1359.38131	-0.0912	7.94E-3	1.41E+9
B7	X5	R17	1361.52291	-0.1387	1.57E-2	7.64E+8
B7	X7	R7	1363.47281	-0.0954	1.50E-2	1.14E+9
B7	X5	P16	1363.65870	-0.1401	6.31E-3	9.01E+8
B7	X6	P12	1365.76699	-0.1220	7.40E-3	1.00E+9
B7	X3	R24	1368.58838	-0.1646	1.67E-2	6.28E+8
B7	X7	R8	1369.39464	-0.1000	1.52E-2	1.09E+9
B7	X3	P23	1369.76578	-0.1671	6.62E-3	6.91E+8
B7	X4	P20	1370.28172	-0.1576	6.80E-3	7.46E+8
B7	X7	P7	1371.14402	-0.1004	7.41E-3	1.26E+9
B7	X5	R18	1373.03321	-0.1445	1.56E-2	7.46E+8
B7	X2	P26	1373.73006	-0.1746	8.18E-3	6.28E+8
B7	X5	P17	1375.57852	-0.1465	6.09E-3	8.18E+8
B7	X6	P13	1375.71539	-0.1283	7.69E-3	9.58E+8
B7	X7	R9	1375.93353	-0.1050	1.53E-2	1.04E+9
B7	X7	R10	1383.02736	-0.1101	1.54E-2	1.00E+9
B7	X4	P21	1383.72463	-0.1631	7.24E-3	7.19E+8
B7	X3	P24	1384.38486	-0.1719	6.11E-3	6.57E+8
B7	X5	R19	1384.67299	-0.1498	1.55E-2	7.19E+8
B7	X7	P9	1385.49290	-0.1110	6.73E-3	1.14E+9
B7	X6	P14	1386.01328	-0.1345	8.04E-3	9.25E+8
B7	X5	P18	1387.68506	-0.1524	5.74E-3	8.29E+8
B7	X7	R11	1390.60688	-0.1153	1.55E-2	9.58E+8
B7	X5	R20	1396.35070	-0.1544	1.52E-2	6.96E+8
B7	X6	P15	1396.59374	-0.1405	8.45E-3	8.83E+8
B7	X4	P22	1397.17304	-0.1678	7.85E-3	6.96E+8
B7	X7	R12	1398.60023	-0.1205	1.54E-2	9.25E+8
B7	X3	P25	1398.92833	-0.1756	5.34E-3	7.15E+8
B7	X5	P19	1399.88699	-0.1577	5.21E-3	7.64E+8
B7	X7	P11	1401.93782	-0.1222	5.87E-3	1.04E+9
B7	X8	P5	1406.24691	-0.0972	7.36E-3	1.41E+9
B7	X7	R13	1406.93838	-0.1256	1.52E-2	8.83E+8
B7	X6	P16	1407.36993	-0.1460	8.95E-3	9.01E+8
B7	X5	R21	1407.95762	-0.1580	1.46E-2	6.91E+8
B7	X4	P23	1410.52205	-0.1715	8.61E-3	6.91E+8
B7	X7	R14	1415.53153	-0.1305	1.48E-2	9.01E+8
B7	X8	P7	1417.25352	-0.1056	8.75E-3	1.26E+9
B7	X6	P17	1418.25169	-0.1511	9.55E-3	8.18E+8
B7	X5	R22	1419.38024	-0.1605	1.36E-2	6.57E+8
B7	X7	P13	1419.91142	-0.1332	4.70E-3	9.58E+8
B7	X4	P24	1423.66181	-0.1740	9.51E-3	6.57E+8
B7	X5	P21	1424.21060	-0.1660	3.56E-3	7.19E+8
B7	X7	R15	1424.28651	-0.1350	1.43E-2	8.18E+8
B7	X6	P18	1429.15113	-0.1555	1.02E-2	8.29E+8
B7	X5	R23	1430.47573	-0.1615	1.19E-2	7.15E+8
B7	X8	P9	1430.48439	-0.1150	1.02E-2	1.14E+9
B7	X7	R16	1433.11232	-0.1389	1.35E-2	8.29E+8
B7	X4	P25	1436.45299	-0.1748	1.04E-2	7.15E+8
B7	X8	P10	1437.75681	-0.1198	1.09E-2	1.09E+9
B7	X7	P15	1438.74867	-0.1430	3.15E-3	8.83E+8
B7	X9	R3	1439.26159	-0.0902	1.44E-2	1.41E+9
B7	X6	P19	1439.94802	-0.1590	1.09E-2	7.64E+8
B7	X7	R17	1441.88556	-0.1421	1.23E-2	7.64E+8
B7	X6	R21	1443.61689	-0.1541	3.78E-3	6.91E+8
B7	X9	R5	1444.56624	-0.0946	1.40E-2	1.26E+9
B7	X8	P11	1445.36295	-0.1245	1.17E-2	1.04E+9
B7	X8	R13	1447.46922	-0.1254	3.97E-3	8.83E+8
B8	X3	R3	1140.45737	-0.0237	3.24E-3	1.39E+9
B8	X2	P10	1143.04763	-0.0486	9.58E-3	1.09E+9
B8	X1	R15	1143.21806	-0.0672	7.17E-3	8.15E+8
B8	X3	R4	1143.80656	-0.0272	4.83E-3	1.32E+9
B8	X2	R11	1145.27516	-0.0513	7.20E-3	9.51E+8
B8	X0	P18	1147.09954	-0.0818	1.24E-2	7.90E+8
B8	X3	R5	1147.80620	-0.0454	2.22E-2	1.25E+9
B8	X0	R19	1151.25833	-0.0852	1.80E-2	7.31E+8
B8	X1	P15	1152.22870	-0.0728	4.84E-4	8.77E+8
B8	X2	P11	1152.70650	-0.0564	9.31E-3	1.04E+9
B8	X2	R12	1155.01881	-0.0591	6.91E-3	9.60E+8
B8	X1	R16	1155.46899	-0.0759	7.95E-3	7.90E+8
B8	X3	R7	1159.22424	-0.0410	2.72E-3	1.14E+9
B8	X0	P19	1161.44547	-0.0909	1.30E-2	7.63E+8
B8	X2	P12	1163.04378	-0.0644	9.20E-3	9.97E+8
B8	X3	P7	1164.24537	-0.0595	4.19E-3	1.25E+9
B8	X2	R13	1165.41954	-0.0671	6.56E-3	8.77E+8
B8	X0	R20	1165.64338	-0.0941	1.81E-2	6.91E+8
B8	X3	R8	1165.99297	-0.0468	3.59E-3	1.09E+9
B8	X1	R17	1168.27176	-0.0846	8.75E-3	7.63E+8
B8	X3	R9	1173.54159	-0.0532	4.37E-3	1.04E+9
B8	X2	P13	1174.02738	-0.0726	9.17E-3	9.51E+8
B8	X0	P20	1176.27544	-0.0999	1.35E-2	7.35E+8
B8	X2	R14	1176.44265	-0.0753	6.17E-3	8.70E+8
B8	X1	P17	1178.29274	-0.0905	8.43E-4	8.15E+8
B8	X3	P9	1180.27122	-0.0580	6.91E-4	1.14E+9
B8	X0	R21	1180.49095	-0.1029	1.82E-2	7.80E+8
B8	X1	R18	1181.59237	-0.0934	9.55E-3	7.35E+8
B8	X3	R10	1181.83191	-0.0601	5.12E-3	9.97E+8
B8	X4	R1	1183.03888	-0.0356	1.11E-2	1.56E+9
B8	X4	P1	1184.21522	-0.0364	6.17E-3	1.78E+9
B8	X4	R2	1184.52994	-0.0370	9.47E-3	1.48E+9
B8	X2	P14	1185.61687	-0.0811	9.17E-3	9.60E+8
B8	X4	P2	1186.48994	-0.0384	7.64E-3	1.67E+9
B8	X4	R3	1186.94484	-0.0394	8.39E-3	1.39E+9
B8	X2	R15	1188.04568	-0.0836	5.76E-3	8.15E+8
B8	X4	P3	1189.68876	-0.0413	8.44E-3	1.56E+9
B8	X4	R4	1190.25679	-0.0429	6.91E-3	1.32E+9
B8	X3	R11	1190.83010	-0.0673	5.88E-3	9.51E+8
B8	X0	P21	1191.55571	-0.1087	1.41E-2	7.31E+8
B8	X4	P4	1193.79160	-0.0450	9.03E-3	1.48E+9
B8	X1	R19	1195.39299	-0.1020	1.03E-2	7.31E+8
B8	X0	R22	1195.77492	-0.1115	1.83E-2	6.55E+8
B8	X2	P15	1197.77983	-0.0896	9.20E-3	8.77E+8
B8	X4	P5	1198.77151	-0.0494	9.60E-3	1.39E+9
B8	X3	P11	1198.86647	-0.0726	6.27E-4	1.04E+9
B8	X4	R6	1199.64449	-0.0516	1.02E-2	1.19E+9
B8	X2	R16	1200.19939	-0.0920	5.35E-3	7.90E+8
B8	X3	R12	1200.49303	-0.0748	6.63E-3	9.60E+8
B8	X4	P6	1204.59004	-0.0548	1.05E-2	1.32E+9
B8	X4	R7	1205.52634	-0.0563	8.74E-3	1.14E+9
B8	X1	P19	1206.37990	-0.1081	1.30E-3	7.63E+8
B8	X0	P22	1207.26263	-0.1173	1.47E-2	6.91E+8
B8	X1	R20	1209.64594	-0.1105	1.11E-2	6.91E+8
B8	X2	P16	1210.47967	-0.0981	9.23E-3	8.70E+8
B8	X3	R13	1210.78524	-0.0825	7.39E-3	8.77E+8
B8	X4	P7	1210.95753	-0.0755	1.29E-2	1.25E+9
B8	X0	R23	1211.45096	-0.1198	1.84E-2	7.24E+8
B8	X4	R8	1212.21704	-0.0619	7.97E-3	1.09E+9
B8	X2	R17	1212.86723	-0.1004	4.95E-3	7.63E+8
B8	X4	P8	1218.78095	-0.0670	7.94E-3	1.19E+9
B8	X4	R9	1219.66824	-0.0680	7.37E-3	1.04E+9
B8	X3	P13	1220.07894	-0.0884	7.62E-4	9.51E+8
B8	X3	R14	1221.66662	-0.0904	8.14E-3	8.70E+8
B8	X0	P23	1223.36095	-0.1257	1.53E-2	7.80E+8
B8	X2	P17	1223.67140	-0.1066	9.28E-3	8.15E+8
B8	X1	R21	1224.31183	-0.1189	1.18E-2	7.80E+8
B8	X2	R18	1226.00872	-0.1087	4.59E-3	7.35E+8
B8	X4	P9	1226.93894	-0.0731	8.87E-3	1.14E+9
B8	X4	R10	1227.83690	-0.0746	6.82E-3	9.97E+8
B8	X3	R15	1233.08822	-0.0983	8.86E-3	8.15E+8
B8	X5	R3	1233.92509	-0.0536	2.54E-3	1.39E+9
B8	X4	P10	1235.81467	-0.0800	9.25E-3	1.09E+9
B8	X1	P21	1236.21744	-0.1251	1.80E-3	7.31E+8
B8	X4	R11	1236.68434	-0.0815	6.30E-3	9.51E+8
B8	X2	P18	1237.32365	-0.1151	9.34E-3	7.90E+8
B8	X1	R22	1239.35718	-0.1270	1.24E-2	6.55E+8
B8	X2	R19	1239.57861	-0.1169	4.28E-3	7.31E+8
B8	X0	P24	1239.82132	-0.1338	1.59E-2	6.55E+8
B8	X3	P15	1243.57772	-0.1046	9.93E-4	8.77E+8
B8	X3	R16	1245.01478	-0.1063	9.53E-3	7.90E+8
B8	X4	P11	1245.35377	-0.0872	9.47E-3	1.04E+9
B8	X4	R12	1246.16145	-0.0887	5.80E-3	9.60E+8
B8	X5	R6	1246.36072	-0.0653	4.29E-3	1.19E+9
B8	X2	P19	1251.39677	-0.1233	9.41E-3	7.63E+8
B8	X5	R7	1252.11076	-0.0697	4.62E-3	1.14E+9
B8	X2	R20	1253.54176	-0.1249	4.02E-3	6.91E+8
B8	X1	R23	1254.72801	-0.1347	1.28E-2	7.24E+8
B8	X4	P12	1255.50801	-0.0946	9.63E-3	9.97E+8
B8	X4	R13	1256.22698	-0.0960	5.33E-3	8.77E+8
B8	X0	P25	1256.59391	-0.1415	1.65E-2	7.24E+8
B8	X3	R17	1257.40249	-0.1141	1.01E-2	7.63E+8
B8	X5	R8	1258.64405	-0.0751	5.09E-3	1.09E+9
B8	X2	P20	1265.84621	-0.1314	9.50E-3	7.35E+8
B8	X5	R9	1265.90642	-0.0809	5.61E-3	1.04E+9
B8	X4	P13	1266.23425	-0.1022	9.76E-3	9.51E+8
B8	X4	R14	1266.83406	-0.1034	4.90E-3	8.70E+8
B8	X1	P23	1267.50861	-0.1409	2.24E-3	7.80E+8
B8	X2	R21	1267.84952	-0.1326	3.85E-3	7.80E+8
B8	X3	P17	1269.01847	-0.1207	1.26E-3	8.15E+8
B8	X3	R18	1270.20257	-0.1219	1.07E-2	7.35E+8
B8	X5	R10	1273.84904	-0.0872	6.16E-3	9.97E+8
B8	X6	R1	1277.39922	-0.0622	1.40E-2	1.56E+9
B8	X4	P14	1277.47862	-0.1099	9.87E-3	9.60E+8
B8	X4	R15	1277.92571	-0.1108	4.51E-3	8.15E+8
B8	X6	P1	1278.77081	-0.0631	7.31E-3	1.78E+9
B8	X2	P21	1280.62136	-0.1391	9.62E-3	7.31E+8
B8	X6	R3	1281.02234	-0.0657	1.15E-2	1.39E+9
B8	X5	R11	1282.42733	-0.0937	6.70E-3	9.51E+8
B8	X2	R22	1282.45845	-0.1399	3.77E-3	6.55E+8
B8	X3	R19	1283.36012	-0.1294	1.11E-2	7.31E+8
B8	X6	R4	1284.13668	-0.0689	1.08E-2	1.32E+9
B8	X6	P3	1284.21905	-0.0678	9.62E-3	1.56E+9
B8	X6	R5	1287.79014	-0.0884	6.33E-3	1.25E+9
B8	X6	P4	1288.25205	-0.0712	1.01E-2	1.48E+9
B8	X4	P15	1289.19540	-0.1175	9.98E-3	8.77E+8
B8	X4	R16	1289.45884	-0.1182	4.19E-3	7.90E+8
B8	X5	R12	1291.58494	-0.1003	7.23E-3	9.60E+8
B8	X6	R6	1293.01435	-0.0769	9.55E-3	1.19E+9
B8	X6	P5	1293.11546	-0.0754	1.04E-2	1.39E+9
B8	X2	P22	1295.68125	-0.1465	9.79E-3	6.91E+8
B8	X3	P19	1296.03212	-0.1362	1.48E-3	7.63E+8
B8	X3	R20	1296.82997	-0.1366	1.14E-2	6.91E+8
B8	X2	R23	1297.30165	-0.1468	3.80E-3	7.24E+8
B8	X6	R7	1298.54640	-0.0809	9.28E-3	1.14E+9
B8	X6	P6	1298.76154	-0.0804	1.04E-2	1.32E+9
B8	X1	P25	1299.90896	-0.1552	2.47E-3	7.24E+8
B8	X5	R13	1301.27329	-0.1071	7.71E-3	8.77E+8
B8	X4	P16	1301.33264	-0.1250	1.01E-2	8.70E+8
B8	X4	R17	1301.38026	-0.1254	3.95E-3	7.63E+8
B8	X6	R8	1304.82182	-0.0859	8.90E-3	1.09E+9
B8	X6	P7	1304.85028	-0.1018	5.65E-3	1.25E+9
B8	X3	R21	1310.55096	-0.1434	1.16E-2	7.80E+8
B8	X2	P23	1310.96899	-0.1534	1.00E-2	7.80E+8
B8	X5	R14	1311.43700	-0.1139	8.12E-3	8.70E+8
B8	X6	R9	1311.77960	-0.0914	8.50E-3	1.04E+9
B8	X6	P8	1312.43006	-0.0916	1.11E-2	1.19E+9
B8	X4	P17	1313.82700	-0.1323	1.02E-2	8.15E+8
B8	X6	R10	1319.36389	-0.0972	8.13E-3	9.97E+8
B8	X6	P9	1320.19374	-0.0970	1.13E-2	1.14E+9
B8	X5	R15	1322.00890	-0.1206	8.45E-3	8.15E+8
B8	X3	P21	1324.20224	-0.1503	1.54E-3	7.31E+8
B8	X3	R22	1324.46562	-0.1497	1.16E-2	6.55E+8
B8	X4	R19	1326.14095	-0.1389	3.77E-3	7.31E+8
B8	X2	P24	1326.43139	-0.1597	1.03E-2	6.55E+8
B8	X4	P18	1326.62883	-0.1394	1.03E-2	7.90E+8
B8	X6	R11	1327.52279	-0.1031	7.80E-3	9.51E+8
B8	X6	P10	1328.57983	-0.1030	1.15E-2	1.09E+9
B8	X5	R16	1332.93555	-0.1272	8.65E-3	7.90E+8
B8	X6	R12	1336.19097	-0.1092	7.51E-3	9.60E+8
B8	X6	P11	1337.51774	-0.1094	1.16E-2	1.04E+9
B8	X3	R23	1338.48898	-0.1554	1.13E-2	7.24E+8
B8	X4	P19	1339.67633	-0.1460	1.05E-2	7.63E+8
B8	X2	P25	1341.98780	-0.1654	1.06E-2	7.24E+8
B8	X5	R17	1344.15113	-0.1335	8.71E-3	7.63E+8
B8	X7	R7	1344.27159	-0.0893	3.61E-3	1.14E+9
B8	X6	R13	1345.31048	-0.1153	7.30E-3	8.77E+8
B8	X6	P12	1346.94263	-0.1157	1.17E-2	9.97E+8
B8	X4	R21	1351.68828	-0.1506	4.13E-3	7.80E+8
B8	X4	P20	1352.89888	-0.1522	1.07E-2	7.35E+8
B8	X6	R14	1354.81490	-0.1213	7.18E-3	8.70E+8
B8	X5	R18	1355.58094	-0.1393	8.58E-3	7.35E+8
B8	X7	R9	1356.66914	-0.0988	4.16E-3	1.04E+9
B8	X6	P13	1356.79386	-0.1221	1.18E-2	9.51E+8
B8	X6	R15	1364.62372	-0.1271	7.18E-3	8.15E+8
B8	X4	P21	1366.21476	-0.1578	1.09E-2	7.31E+8
B8	X6	P14	1366.99642	-0.1283	1.19E-2	9.60E+8
B8	X5	R19	1367.13927	-0.1447	8.25E-3	7.31E+8
B8	X8	R1	1370.41177	-0.0784	1.78E-2	1.56E+9
B8	X7	R11	1371.27638	-0.1092	4.46E-3	9.51E+8
B8	X8	R3	1373.45112	-0.0813	1.48E-2	1.39E+9
B8	X6	R16	1374.66920	-0.1325	7.30E-3	7.90E+8
B8	X8	P3	1377.12644	-0.0836	1.21E-2	1.56E+9
B8	X4	R23	1377.37885	-0.1593	5.28E-3	7.24E+8
B8	X6	P15	1377.48211	-0.1343	1.19E-2	8.77E+8
B8	X5	R20	1378.74598	-0.1493	7.65E-3	6.91E+8
B8	X8	R5	1379.19011	-0.1041	7.58E-3	1.25E+9
B8	X4	P22	1379.54771	-0.1626	1.11E-2	6.91E+8
B8	X8	R6	1383.82017	-0.0908	1.34E-2	1.19E+9
B8	X6	R17	1384.86784	-0.1376	7.59E-3	7.63E+8
B8	X8	P5	1385.29997	-0.0903	1.28E-2	1.39E+9
B8	X7	R13	1387.54454	-0.1197	4.34E-3	8.77E+8
B8	X6	P16	1388.17236	-0.1399	1.19E-2	8.70E+8
B8	X8	R7	1388.56225	-0.0940	1.32E-2	1.14E+9
B8	X5	R21	1390.29512	-0.1531	6.75E-3	7.80E+8
B8	X8	P6	1390.40499	-0.0947	1.28E-2	1.32E+9
B8	X4	P23	1392.79555	-0.1664	1.12E-2	7.80E+8
B8	X8	R8	1393.90828	-0.0980	1.30E-2	1.09E+9
B8	X6	R18	1395.12323	-0.1420	8.05E-3	7.35E+8
B8	X8	P7	1395.77283	-0.1164	7.45E-3	1.25E+9
B8	X6	P17	1398.97146	-0.1451	1.17E-2	8.15E+8
B8	X8	R9	1399.77897	-0.1023	1.29E-2	1.04E+9
B8	X8	P8	1402.59435	-0.1041	1.28E-2	1.19E+9
B8	X7	R15	1404.84298	-0.1292	3.60E-3	8.15E+8
